,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux,periode_construction,Arrondissement,Quartier,score_jardin,score_monument,score_metro
10022,226.0,RUE,1.0,57,9.578947,2.299277,48.83623,0.10377358490566038,0.0,3.0,15,57,2.8861575058146998,0.25,0.08252757542259229
10023,11.0,RUE,1.0,2,9.703125,2.28001,48.846884,0.11320754716981132,0.06666666666666667,7.0,15,60,9.283529049452232,0.2,0.08359714387024487
10024,11.0,RUE,2.0,2,9.8,2.28001,48.846884,0.11320754716981132,0.06666666666666667,7.0,15,60,9.283529049452232,0.2,0.08359714387024487
10025,78.0,AV,2.0,22,13.125,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10026,78.0,AV,3.0,22,12.938356,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10027,78.0,AV,0.0,22,11.025641,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10028,78.0,AV,1.0,22,10.0,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10029,78.0,AV,5.0,22,14.324324,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10030,78.0,AV,3.0,22,14.942528,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10031,78.0,AV,1.0,22,9.357142,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10032,78.0,AV,5.0,22,13.513513,2.299773,48.851709,0.07547169811320754,0.03333333333333333,3.0,15,59,7.049258852002751,0.6412838676470589,0.12449228290190248
10033,146.0,BD,1.0,154,10.0,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
10034,146.0,BD,2.0,154,9.7,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
10035,146.0,BD,2.0,154,13.8,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
10036,146.0,BD,2.0,154,11.747368,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
10037,146.0,BD,2.0,154,9.041666,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
10038,146.0,BD,1.0,154,11.785714,2.299227,48.848442,0.1509433962264151,0.1,5.0,15,59,2.7238202422282045,0.5,0.1556153536273781
