,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
28328,13.0,RUE,1.0,38,8.65,2.384452,48.874945,0.14150943396226415,0.16666666666666666
28329,13.0,RUE,1.0,38,7.451612,2.384452,48.874945,0.14150943396226415,0.16666666666666666
28330,57.0,RUE,1.0,15,4.296296,2.405423,48.872071,0.02830188679245283,0.0
28331,57.0,RUE,2.0,15,6.8,2.405423,48.872071,0.02830188679245283,0.0
28332,99.0,BD,4.0,8,5.973684,2.384861,48.898276,0.0,0.0
28333,30.0,RUE,2.0,8,12.97619,2.40117,48.853077,0.20754716981132076,0.06666666666666667
28334,19.0,RUE,3.0,2,9.305555,2.384443,48.877989,0.04716981132075472,0.03333333333333333
28335,27.0,RUE,3.0,112,7.830188,2.406911,48.866873,0.12264150943396226,0.06666666666666667
28336,27.0,RUE,2.0,112,4.545454,2.406911,48.866873,0.12264150943396226,0.06666666666666667
28337,15.0,RUE,5.0,41,8.333333,2.389376,48.877975,0.05660377358490566,0.0
28338,134.0,RUE,2.0,63,9.0,2.389459,48.872512,0.0660377358490566,0.03333333333333333
28339,8.0,RUE,2.0,65,7.229166,2.395244,48.865578,0.09433962264150944,0.03333333333333333
28340,81.0,RUE,1.0,11,8.59525,2.400764,48.863752,0.0660377358490566,0.0
28341,35.0,RUE,3.0,194,8.550724,2.391448,48.870558,0.07547169811320754,0.03333333333333333
28342,37.0,RUE,3.0,14,10.48,2.371845,48.882659,0.3584905660377358,0.26666666666666666
28343,80.0,RUE,1.0,11,7.181818,2.393784,48.8859,0.04716981132075472,0.03333333333333333
28344,4.0,RUE,1.0,49,34.090909,2.385334,48.874429,0.14150943396226415,0.16666666666666666
28345,4.0,RUE,1.0,49,10.416666,2.385334,48.874429,0.14150943396226415,0.16666666666666666
28346,13.0,RUE,3.0,108,11.710937,2.399524,48.86203,0.02830188679245283,0.0
28347,285.0,RUE,1.0,61,10.375,2.395204,48.868871,0.09433962264150944,0.0
28348,285.0,RUE,4.0,61,8.152173,2.395204,48.868871,0.09433962264150944,0.0
